ds,weekday,month_period,is_holiday,is_workday_shift,is_next_workday,is_month_end,is_quarter_end,is_festival_eve,holiday_len,is_long_holiday
2014-08-07,3,begin,0,0,0,0,0,0,0,0
2014-08-08,4,begin,0,0,0,0,0,1,0,0
2014-08-09,5,begin,1,0,0,0,0,0,1,0
2014-08-10,6,begin,1,0,0,0,0,0,2,0
2014-08-11,0,middle,0,0,1,0,0,0,0,0
2014-08-12,1,middle,0,0,0,0,0,0,0,0
2014-08-13,2,middle,0,0,0,0,0,0,0,0
2014-08-14,3,middle,0,0,0,0,0,0,0,0
2014-08-15,4,middle,0,0,0,0,0,1,0,0
2014-08-16,5,middle,1,0,0,0,0,0,1,0
2014-08-17,6,middle,1,0,0,0,0,0,2,0
2014-08-18,0,middle,0,0,1,0,0,0,0,0
2014-08-19,1,middle,0,0,0,0,0,0,0,0
2014-08-20,2,middle,0,0,0,0,0,0,0,0
2014-08-21,3,end,0,0,0,0,0,0,0,0
2014-08-22,4,end,0,0,0,0,0,1,0,0
2014-08-23,5,end,1,0,0,0,0,0,1,0
2014-08-24,6,end,1,0,0,0,0,0,2,0
2014-08-25,0,end,0,0,1,0,0,0,0,0
2014-08-26,1,end,0,0,0,0,0,0,0,0
2014-08-27,2,end,0,0,0,0,0,0,0,0
2014-08-28,3,end,0,0,0,0,0,0,0,0
2014-08-29,4,end,0,0,0,0,0,1,0,0
2014-08-30,5,end,1,0,0,0,0,0,1,0
2014-08-31,6,end,1,0,0,1,0,0,2,0
2014-09-01,0,begin,0,0,1,0,0,0,0,0
2014-09-02,1,begin,0,0,0,0,0,0,0,0
2014-09-03,2,begin,0,0,0,0,0,0,0,0
2014-09-04,3,begin,0,0,0,0,0,0,0,0
2014-09-05,4,begin,0,0,0,0,0,1,0,0
2014-09-06,5,begin,1,0,0,0,0,0,1,0
2014-09-07,6,begin,1,0,0,0,0,0,2,0
2014-09-08,0,begin,1,0,0,0,0,0,3,1
2014-09-09,1,begin,0,0,1,0,0,0,0,0
2014-09-10,2,begin,0,0,0,0,0,0,0,0
2014-09-11,3,middle,0,0,0,0,0,0,0,0
2014-09-12,4,middle,0,0,0,0,0,1,0,0
2014-09-13,5,middle,1,0,0,0,0,0,1,0
2014-09-14,6,middle,1,0,0,0,0,0,2,0
2014-09-15,0,middle,0,0,1,0,0,0,0,0
2014-09-16,1,middle,0,0,0,0,0,0,0,0
2014-09-17,2,middle,0,0,0,0,0,0,0,0
2014-09-18,3,middle,0,0,0,0,0,0,0,0
2014-09-19,4,middle,0,0,0,0,0,1,0,0
2014-09-20,5,middle,1,0,0,0,0,0,1,0
2014-09-21,6,end,1,0,0,0,0,0,2,0
2014-09-22,0,end,0,0,1,0,0,0,0,0
2014-09-23,1,end,0,0,0,0,0,0,0,0
2014-09-24,2,end,0,0,0,0,0,0,0,0
2014-09-25,3,end,0,0,0,0,0,0,0,0
2014-09-26,4,end,0,0,0,0,0,1,0,0
2014-09-27,5,end,1,0,0,0,0,0,1,0
2014-09-28,6,end,0,1,1,0,0,0,0,0
2014-09-29,0,end,0,0,0,0,0,0,0,0
2014-09-30,1,end,0,0,0,1,1,1,0,0
2014-10-01,2,begin,1,0,0,0,0,0,1,0
2014-10-02,3,begin,1,0,0,0,0,0,2,0
2014-10-03,4,begin,1,0,0,0,0,0,3,1
2014-10-04,5,begin,1,0,0,0,0,0,4,1
2014-10-05,6,begin,1,0,0,0,0,0,5,1
2014-10-06,0,begin,1,0,0,0,0,0,6,1
2014-10-07,1,begin,1,0,0,0,0,0,7,1
2014-10-08,2,begin,0,0,1,0,0,0,0,0
2014-10-09,3,begin,0,0,0,0,0,0,0,0
2014-10-10,4,begin,0,0,0,0,0,0,0,0
