ds,purchase,redeem,is_holiday,is_workday_shift,is_before_holiday,is_after_holiday,weekday,month_period,mfd_daily_yield,mfd_7daily_yield,Interest_O_N
2013-07-21,21142394.0,2681331.0,1.0,0.0,0.0,1.0,6.0,end,1.1962,4.471,3.04
2013-07-22,40448896.0,19144267.0,0.0,0.0,0.0,1.0,0.0,end,1.1547,4.447,3.1035
2013-07-23,58136147.0,24404051.0,0.0,0.0,0.0,1.0,1.0,end,1.1826,4.426,3.1355
2013-07-24,48422518.0,36258592.0,0.0,0.0,1.0,1.0,2.0,end,1.1805,4.424,3.23
2013-07-25,57433418.0,38212836.0,0.0,0.0,1.0,0.0,3.0,end,1.1645,4.411,3.3495
2013-07-26,44721817.0,39192369.0,0.0,0.0,1.0,0.0,4.0,end,1.1777,4.397,3.55
2013-07-27,17194451.0,15058893.0,1.0,0.0,1.0,0.0,5.0,end,1.1728,4.384,3.55
2013-07-28,36255382.0,7683211.0,1.0,0.0,0.0,1.0,6.0,end,1.1726,4.371,3.55
2013-07-29,53512076.0,18599364.0,0.0,0.0,0.0,1.0,0.0,end,1.1515,4.369,3.703
2013-07-30,47481243.0,13048582.0,0.0,0.0,0.0,1.0,1.0,end,1.1958,4.377,3.641
2013-07-31,54569637.0,9534040.0,0.0,0.0,1.0,1.0,2.0,end,1.2088,4.392,3.699
2013-08-01,53369962.0,18864468.0,0.0,0.0,1.0,0.0,3.0,begin,1.2026,4.413,3.549
2013-08-02,38064536.0,40150769.0,0.0,0.0,1.0,0.0,4.0,begin,1.222,4.437,3.2539
2013-08-03,21595789.0,20701797.0,1.0,0.0,1.0,0.0,5.0,begin,1.2154,4.46,3.2539
2013-08-04,45745254.0,8263965.0,1.0,0.0,0.0,1.0,6.0,begin,1.2152,4.483,3.2539
2013-08-05,43632203.0,15797507.0,0.0,0.0,0.0,1.0,0.0,begin,1.1875,4.503,3.1
2013-08-06,50866184.0,16401387.0,0.0,0.0,0.0,1.0,1.0,begin,1.204,4.507,3.1
2013-08-07,43908081.0,29708706.0,0.0,0.0,1.0,1.0,2.0,begin,1.2118,4.509,3.1005
2013-08-08,44493490.0,29551691.0,0.0,0.0,1.0,0.0,3.0,begin,1.2155,4.516,3.1641
2013-08-09,33425186.0,30131015.0,0.0,0.0,1.0,0.0,4.0,begin,1.2174,4.513,2.914
2013-08-10,20615307.0,26614408.0,1.0,0.0,1.0,0.0,5.0,begin,1.2128,4.512,2.914
2013-08-11,55519543.0,15372680.0,1.0,0.0,0.0,1.0,6.0,middle,1.2126,4.511,2.914
2013-08-12,94520502.0,28586669.0,0.0,0.0,0.0,1.0,0.0,middle,1.1886,4.511,2.9645
2013-08-13,48720919.0,28790328.0,0.0,0.0,0.0,1.0,1.0,middle,1.2143,4.517,3.2253
2013-08-14,30541167.0,15031683.0,0.0,0.0,1.0,1.0,2.0,middle,1.2201,4.521,3.435
2013-08-15,42421222.0,52659327.0,0.0,0.0,1.0,0.0,3.0,middle,1.2184,4.523,3.283
2013-08-16,41683536.0,33739844.0,0.0,0.0,1.0,0.0,4.0,middle,1.219,4.524,3.209
2013-08-17,17670519.0,4674983.0,1.0,0.0,1.0,0.0,5.0,middle,1.215,4.525,3.209
2013-08-18,59703092.0,15218300.0,1.0,0.0,0.0,1.0,6.0,middle,1.2148,4.526,3.209
2013-08-19,109184209.0,28339260.0,0.0,0.0,0.0,1.0,0.0,middle,1.1987,4.532,3.403
2013-08-20,53675509.0,30131225.0,0.0,0.0,0.0,1.0,1.0,middle,1.2288,4.54,3.854
2013-08-21,38184446.0,29983342.0,0.0,0.0,1.0,1.0,2.0,end,1.2307,4.545,3.517
2013-08-22,89130737.0,25000672.0,0.0,0.0,1.0,0.0,3.0,end,1.2187,4.546,3.357
2013-08-23,37878575.0,25680323.0,0.0,0.0,1.0,0.0,4.0,end,1.2236,4.548,3.265
2013-08-24,44367268.0,14316598.0,1.0,0.0,1.0,0.0,5.0,end,1.2204,4.551,3.265
2013-08-25,43306288.0,18117808.0,1.0,0.0,0.0,1.0,6.0,end,1.2202,4.554,3.265
2013-08-26,74496541.0,20637986.0,0.0,0.0,0.0,1.0,0.0,end,1.185,4.546,3.037
2013-08-27,45268028.0,60137633.0,0.0,0.0,0.0,1.0,1.0,end,1.2131,4.538,3.006
2013-08-28,46602319.0,33696861.0,0.0,0.0,1.0,1.0,2.0,end,1.213,4.528,3.098
2013-08-29,47518666.0,35944968.0,0.0,0.0,1.0,0.0,3.0,end,1.3194,4.583,2.957
2013-08-30,56488844.0,20630752.0,0.0,0.0,1.0,0.0,4.0,end,1.4113,4.686,3.034
2013-08-31,47655303.0,22012016.0,1.0,0.0,1.0,0.0,5.0,end,1.2201,4.685,3.034
2013-09-01,56239802.0,59339949.0,1.0,0.0,0.0,1.0,6.0,begin,1.2199,4.685,3.034
2013-09-02,140844739.0,17785524.0,0.0,0.0,0.0,1.0,0.0,begin,1.4475,4.829,3.0188
2013-09-03,80507880.0,39328144.0,0.0,0.0,0.0,1.0,1.0,begin,1.2339,4.84,3.0006
2013-09-04,33366708.0,27452600.0,0.0,0.0,1.0,1.0,2.0,begin,1.2349,4.852,3.005
2013-09-05,38716505.0,21800904.0,0.0,0.0,1.0,0.0,3.0,begin,1.2374,4.807,2.89
2013-09-06,38923186.0,33417903.0,0.0,0.0,1.0,0.0,4.0,begin,1.5058,4.859,2.95
2013-09-07,34076183.0,20344424.0,1.0,0.0,1.0,0.0,5.0,begin,1.2415,4.87,2.95
2013-09-08,38796909.0,14919122.0,1.0,0.0,0.0,1.0,6.0,begin,1.2381,4.88,2.95
2013-09-09,49312473.0,45621186.0,0.0,0.0,0.0,1.0,0.0,begin,1.44,4.876,2.92
2013-09-10,94684143.0,37128363.0,0.0,0.0,0.0,1.0,1.0,begin,1.4214,4.979,2.8955
2013-09-11,98944459.0,71674082.0,0.0,0.0,1.0,1.0,2.0,middle,1.2527,4.989,3.014
2013-09-12,68573684.0,45147220.0,0.0,0.0,1.0,0.0,3.0,middle,1.2598,5.001,2.967
2013-09-13,71655946.0,60512675.0,0.0,0.0,1.0,0.0,4.0,middle,1.3805,4.932,2.979
2013-09-14,30975443.0,36312660.0,1.0,0.0,1.0,0.0,5.0,middle,1.2613,4.943,2.979
2013-09-15,37059683.0,25020715.0,1.0,0.0,0.0,1.0,6.0,middle,1.2611,4.956,2.979
2013-09-16,161656210.0,45184589.0,0.0,0.0,1.0,1.0,0.0,middle,1.4143,4.942,3.008
2013-09-17,76204815.0,58260798.0,0.0,0.0,1.0,1.0,1.0,middle,1.2495,4.848,3.493
2013-09-18,42926608.0,47203221.0,0.0,0.0,1.0,1.0,2.0,middle,1.3366,4.894,3.557
2013-09-19,24778048.0,11418512.0,1.0,0.0,1.0,0.0,3.0,middle,1.2594,4.893,3.557
2013-09-20,28365762.0,15188254.0,1.0,0.0,1.0,1.0,4.0,middle,1.2592,4.827,3.557
2013-09-21,32406340.0,26596179.0,1.0,0.0,0.0,1.0,5.0,end,1.2569,4.825,3.557
2013-09-22,67514169.0,47962055.0,0.0,1.0,0.0,1.0,6.0,end,1.2567,4.822,3.573
2013-09-23,54658160.0,58285879.0,0.0,0.0,0.0,1.0,0.0,end,1.2346,4.724,3.815
2013-09-24,74250859.0,56680792.0,0.0,0.0,0.0,1.0,1.0,end,1.3281,4.767,3.6144
2013-09-25,47274168.0,74838162.0,0.0,0.0,1.0,0.0,2.0,end,1.3895,4.796,3.347
2013-09-26,68718693.0,48467529.0,0.0,0.0,1.0,0.0,3.0,end,1.4449,4.897,3.112
2013-09-27,42166121.0,27639603.0,0.0,0.0,1.0,0.0,4.0,end,1.3799,4.963,3.1477
2013-09-28,39995798.0,58105720.0,1.0,0.0,1.0,0.0,5.0,end,1.3138,4.994,3.1477
2013-09-29,34433848.0,40295202.0,0.0,1.0,1.0,1.0,6.0,end,1.3136,5.026,3.15
2013-09-30,28398050.0,30181353.0,0.0,0.0,1.0,1.0,0.0,end,1.3162,5.07,3.126
2013-10-01,19137499.0,12813267.0,1.0,0.0,1.0,1.0,1.0,begin,1.3181,5.065,3.126
2013-10-02,11562708.0,7233874.0,1.0,0.0,1.0,1.0,2.0,begin,1.3179,5.026,3.126
2013-10-03,10101194.0,6223263.0,1.0,0.0,1.0,1.0,3.0,begin,1.3177,4.956,3.126
2013-10-04,19907689.0,23412350.0,1.0,0.0,1.0,1.0,4.0,begin,1.3175,4.922,3.126
2013-10-05,26364686.0,13966453.0,1.0,0.0,1.0,1.0,5.0,begin,1.3173,4.924,3.126
2013-10-06,38730653.0,13464528.0,1.0,0.0,1.0,1.0,6.0,begin,1.3111,4.922,3.126
2013-10-07,42797733.0,28894400.0,1.0,0.0,0.0,1.0,0.0,begin,1.3109,4.919,3.126
2013-10-08,109806912.0,77856096.0,0.0,0.0,0.0,1.0,1.0,begin,1.4756,5.006,3.052
2013-10-09,72422299.0,33999376.0,0.0,0.0,0.0,1.0,2.0,begin,1.2935,4.992,3.232
2013-10-10,72094613.0,52244531.0,0.0,0.0,1.0,1.0,3.0,begin,1.3088,4.987,3.328
2013-10-11,82674757.0,27666473.0,0.0,0.0,1.0,0.0,4.0,middle,1.3122,4.985,3.1
2013-10-12,81901136.0,31322983.0,0.0,1.0,1.0,0.0,5.0,middle,1.3082,4.98,3.027
2013-10-13,71149981.0,31850475.0,1.0,0.0,0.0,0.0,6.0,middle,1.308,4.978,3.027
2013-10-14,130315300.0,40652625.0,0.0,0.0,0.0,1.0,0.0,middle,1.2777,4.96,3.113
2013-10-15,85704304.0,35099198.0,0.0,0.0,0.0,1.0,1.0,middle,1.3456,4.889,3.117
2013-10-16,100948091.0,51261982.0,0.0,0.0,1.0,1.0,2.0,middle,1.313,4.899,3.055
2013-10-17,87203217.0,23274764.0,0.0,0.0,1.0,0.0,3.0,middle,1.2908,4.889,3.038
2013-10-18,98151450.0,15938355.0,0.0,0.0,1.0,0.0,4.0,middle,1.2917,4.878,3.001
2013-10-19,53148443.0,26684697.0,1.0,0.0,1.0,0.0,5.0,middle,1.2859,4.866,3.001
2013-10-20,47766681.0,50884342.0,1.0,0.0,0.0,1.0,6.0,middle,1.2857,4.854,3.001
2013-10-21,106030290.0,45781403.0,0.0,0.0,0.0,1.0,0.0,end,1.34,4.888,3.06
2013-10-22,145611496.0,96172537.0,0.0,0.0,0.0,1.0,1.0,end,1.2698,4.846,3.052
2013-10-23,106093112.0,73788462.0,0.0,0.0,1.0,1.0,2.0,end,1.273,4.825,3.78
2013-10-24,69530830.0,58183921.0,0.0,0.0,1.0,0.0,3.0,end,1.2811,4.819,4.088
2013-10-25,69936453.0,52225802.0,0.0,0.0,1.0,0.0,4.0,end,1.2758,4.811,4.367
2013-10-26,55752506.0,49357211.0,1.0,0.0,1.0,0.0,5.0,end,1.2731,4.804,4.367
2013-10-27,68007543.0,46520570.0,1.0,0.0,0.0,1.0,6.0,end,1.2729,4.797,4.367
2013-10-28,129993375.0,55089464.0,0.0,0.0,0.0,1.0,0.0,end,1.2428,4.743,4.434
2013-10-29,102050144.0,43052468.0,0.0,0.0,0.0,1.0,1.0,end,1.289,4.754,4.446
2013-10-30,109663260.0,63908701.0,0.0,0.0,1.0,1.0,2.0,end,1.2902,4.763,5.23
2013-10-31,90926701.0,55607833.0,0.0,0.0,1.0,0.0,3.0,end,1.2965,4.772,4.59
2013-11-01,150904945.0,66933119.0,0.0,0.0,1.0,0.0,4.0,begin,1.2919,4.781,4.2883
2013-11-02,62132300.0,26705506.0,1.0,0.0,1.0,0.0,5.0,begin,1.2911,4.79,4.2883
2013-11-03,68707870.0,30895754.0,1.0,0.0,0.0,1.0,6.0,begin,1.291,4.8,4.2883
2013-11-04,300027403.0,130970051.0,0.0,0.0,0.0,1.0,0.0,begin,1.2888,4.825,4.0971
2013-11-05,180904814.0,82689864.0,0.0,0.0,0.0,1.0,1.0,begin,1.2938,4.828,3.9147
2013-11-06,181474910.0,131707820.0,0.0,0.0,1.0,1.0,2.0,begin,1.2917,4.829,3.66
2013-11-07,167963464.0,83306452.0,0.0,0.0,1.0,0.0,3.0,begin,1.2935,4.827,3.73
2013-11-08,231749471.0,92856307.0,0.0,0.0,1.0,0.0,4.0,begin,1.292,4.827,3.761
2013-11-09,126467028.0,45885771.0,1.0,0.0,1.0,0.0,5.0,begin,1.2891,4.826,3.761
2013-11-10,164813471.0,85293644.0,1.0,0.0,0.0,1.0,6.0,begin,1.2889,4.825,3.761
2013-11-11,147986439.0,227124951.0,0.0,0.0,0.0,1.0,0.0,middle,1.4962,4.938,3.6
2013-11-12,148469647.0,131263524.0,0.0,0.0,0.0,1.0,1.0,middle,1.4577,5.028,3.329
2013-11-13,174554976.0,79121440.0,0.0,0.0,1.0,1.0,2.0,middle,1.4097,5.093,3.336
2013-11-14,167996058.0,52554150.0,0.0,0.0,1.0,0.0,3.0,middle,1.3294,5.112,4.188
2013-11-15,124270704.0,58210254.0,0.0,0.0,1.0,0.0,4.0,middle,1.4738,5.212,4.454
2013-11-16,118085705.0,28996272.0,1.0,0.0,1.0,0.0,5.0,middle,1.3102,5.224,4.454
2013-11-17,111786622.0,42358155.0,1.0,0.0,0.0,1.0,6.0,middle,1.31,5.235,4.454
2013-11-18,195766477.0,136916782.0,0.0,0.0,0.0,1.0,0.0,middle,1.321,5.139,4.513
2013-11-19,131365419.0,70308235.0,0.0,0.0,0.0,1.0,1.0,middle,1.3377,5.073,4.075
2013-11-20,166163002.0,86951218.0,0.0,0.0,1.0,1.0,2.0,middle,1.3352,5.033,4.057
2013-11-21,221166938.0,74733962.0,0.0,0.0,1.0,0.0,3.0,end,1.3442,5.041,3.889
2013-11-22,128528687.0,82717921.0,0.0,0.0,1.0,0.0,4.0,end,1.3502,4.973,3.899
2013-11-23,89109018.0,48882131.0,1.0,0.0,1.0,0.0,5.0,end,1.3469,4.993,3.899
2013-11-24,102394991.0,85555947.0,1.0,0.0,0.0,1.0,6.0,end,1.3467,5.013,3.899
2013-11-25,147143602.0,70113127.0,0.0,0.0,0.0,1.0,0.0,end,1.361,5.035,3.847
2013-11-26,258037702.0,65802983.0,0.0,0.0,0.0,1.0,1.0,end,1.3774,5.057,3.746
2013-11-27,134774128.0,86129498.0,0.0,0.0,1.0,1.0,2.0,end,1.3755,5.079,3.764
2013-11-28,139760425.0,61453591.0,0.0,0.0,1.0,0.0,3.0,end,1.3862,5.102,3.746
2013-11-29,122536344.0,123982166.0,0.0,0.0,1.0,0.0,4.0,end,1.3879,5.123,3.726
2013-11-30,116865492.0,119660311.0,1.0,0.0,1.0,0.0,5.0,end,1.3878,5.145,3.726
2013-12-01,137889992.0,94632233.0,1.0,0.0,0.0,1.0,6.0,begin,1.3876,5.168,3.726
2013-12-02,345313258.0,128465086.0,0.0,0.0,0.0,1.0,0.0,begin,1.3882,5.182,3.748
2013-12-03,268666856.0,101662045.0,0.0,0.0,0.0,1.0,1.0,begin,1.399,5.194,3.725
2013-12-04,219456372.0,69981329.0,0.0,0.0,1.0,1.0,2.0,begin,1.3982,5.207,3.7235
2013-12-05,190825287.0,118256819.0,0.0,0.0,1.0,0.0,3.0,begin,1.4025,5.216,3.703
2013-12-06,152197159.0,82625571.0,0.0,0.0,1.0,0.0,4.0,begin,1.3848,5.214,3.7
2013-12-07,138882605.0,71916047.0,1.0,0.0,1.0,0.0,5.0,begin,1.3815,5.211,3.7
2013-12-08,124886903.0,76314292.0,1.0,0.0,0.0,1.0,6.0,begin,1.3809,5.207,3.7
2013-12-09,174652812.0,133355299.0,0.0,0.0,0.0,1.0,0.0,begin,1.4227,5.226,3.62
2013-12-10,179471612.0,147147341.0,0.0,0.0,0.0,1.0,1.0,begin,1.4271,5.241,3.558
2013-12-11,239916977.0,110314592.0,0.0,0.0,1.0,1.0,2.0,middle,1.42,5.253,3.51
2013-12-12,140360007.0,92090275.0,0.0,0.0,1.0,0.0,3.0,middle,1.4663,5.288,3.46
2013-12-13,164672690.0,90778214.0,0.0,0.0,1.0,0.0,4.0,middle,1.4527,5.325,3.4321
2013-12-14,129045596.0,52234651.0,1.0,0.0,1.0,0.0,5.0,middle,1.4493,5.363,3.4321
2013-12-15,205882387.0,54757146.0,1.0,0.0,0.0,1.0,6.0,middle,1.4491,5.4,3.4321
2013-12-16,196489931.0,156157326.0,0.0,0.0,0.0,1.0,0.0,middle,1.4771,5.43,3.447
2013-12-17,193980797.0,116537843.0,0.0,0.0,0.0,1.0,1.0,middle,1.4532,5.444,3.47
2013-12-18,180215804.0,202220872.0,0.0,0.0,1.0,1.0,2.0,middle,1.4542,5.463,3.588
2013-12-19,233631357.0,164023344.0,0.0,0.0,1.0,0.0,3.0,middle,1.5167,5.491,3.846
2013-12-20,133867400.0,153678963.0,0.0,0.0,1.0,0.0,4.0,middle,1.513,5.524,3.927
2013-12-21,112000779.0,83151594.0,1.0,0.0,1.0,0.0,5.0,end,1.5109,5.558,3.927
2013-12-22,154543217.0,83998249.0,1.0,0.0,0.0,1.0,6.0,end,1.5107,5.592,3.927
2013-12-23,198747367.0,138478245.0,0.0,0.0,0.0,1.0,0.0,end,1.6189,5.67,4.515
2013-12-24,305406334.0,118607911.0,0.0,0.0,0.0,1.0,1.0,end,1.611,5.757,4.145
2013-12-25,380076148.0,172755480.0,0.0,0.0,1.0,1.0,2.0,end,1.7012,5.893,4.05
2013-12-26,220287409.0,241852564.0,0.0,0.0,1.0,0.0,3.0,end,1.7674,6.032,4.001
2013-12-27,211118967.0,163522548.0,0.0,0.0,1.0,0.0,4.0,end,1.803,6.192,3.513
2013-12-28,192808006.0,61383220.0,1.0,0.0,1.0,0.0,5.0,end,1.7889,6.346,3.513
2013-12-29,161473347.0,55129989.0,1.0,0.0,1.0,1.0,6.0,end,1.7886,6.5,3.513
2013-12-30,286358778.0,179826624.0,0.0,0.0,1.0,1.0,0.0,end,1.7947,6.598,3.205
2013-12-31,265851934.0,134232530.0,0.0,0.0,1.0,1.0,1.0,end,1.7869,6.696,3.148
2014-01-01,330926565.0,77367755.0,1.0,0.0,1.0,1.0,2.0,begin,1.7807,6.74,3.148
2014-01-02,434956739.0,190155450.0,0.0,0.0,1.0,1.0,3.0,begin,1.8092,6.763,3.131
2014-01-03,342074805.0,127714255.0,0.0,0.0,1.0,1.0,4.0,begin,1.7847,6.753,3.006
2014-01-04,186085910.0,99869074.0,1.0,0.0,1.0,1.0,5.0,begin,1.7751,6.745,3.006
2014-01-05,206030707.0,156781996.0,1.0,0.0,0.0,1.0,6.0,begin,1.7748,6.738,3.006
2014-01-06,442494042.0,190917629.0,0.0,0.0,0.0,1.0,0.0,begin,1.774,6.726,2.92
2014-01-07,589726496.0,137972793.0,0.0,0.0,0.0,1.0,1.0,begin,1.8086,6.738,2.875
2014-01-08,264025160.0,213880074.0,0.0,0.0,1.0,1.0,2.0,begin,1.822,6.761,2.83
2014-01-09,280698487.0,140391237.0,0.0,0.0,1.0,0.0,3.0,begin,1.7647,6.737,2.794
2014-01-10,237797636.0,117259153.0,0.0,0.0,1.0,0.0,4.0,begin,1.7878,6.738,2.766
2014-01-11,243403438.0,71530182.0,1.0,0.0,1.0,0.0,5.0,middle,1.7439,6.721,2.766
2014-01-12,228255344.0,141505812.0,1.0,0.0,0.0,1.0,6.0,middle,1.7434,6.703,2.766
2014-01-13,447207050.0,178923772.0,0.0,0.0,0.0,1.0,0.0,middle,1.7584,6.695,2.738
2014-01-14,356907128.0,159778389.0,0.0,0.0,0.0,1.0,1.0,middle,1.7634,6.67,2.7395
2014-01-15,391408718.0,177618247.0,0.0,0.0,1.0,1.0,2.0,middle,1.7295,6.618,2.7513
2014-01-16,374947083.0,153167426.0,0.0,0.0,1.0,0.0,3.0,middle,1.723,6.595,2.7723
2014-01-17,345426853.0,127385210.0,0.0,0.0,1.0,0.0,4.0,middle,1.7139,6.554,2.817
2014-01-18,233200688.0,142869842.0,1.0,0.0,1.0,0.0,5.0,middle,1.6772,6.517,2.817
2014-01-19,185082022.0,117629351.0,1.0,0.0,0.0,1.0,6.0,middle,1.6767,6.48,2.817
2014-01-20,335761027.0,442996084.0,0.0,0.0,0.0,1.0,0.0,middle,1.7235,6.46,3.888
2014-01-21,412854611.0,302825136.0,0.0,0.0,0.0,1.0,1.0,end,1.6958,6.423,3.641
2014-01-22,498730606.0,292856188.0,0.0,0.0,1.0,1.0,2.0,end,1.6853,6.398,3.676
2014-01-23,481450097.0,209024328.0,0.0,0.0,1.0,0.0,3.0,end,1.7491,6.413,3.7
2014-01-24,614103894.0,345829001.0,0.0,0.0,1.0,0.0,4.0,end,1.7296,6.422,3.7193
2014-01-25,440854623.0,185524856.0,1.0,0.0,0.0,0.0,5.0,end,1.6815,6.424,3.7193
2014-01-26,528402520.0,331752519.0,0.0,1.0,0.0,1.0,6.0,end,1.695,6.434,4.4
2014-01-27,657199484.0,280645861.0,0.0,0.0,0.0,1.0,0.0,end,1.6915,6.416,4.534
2014-01-28,843424742.0,248334316.0,0.0,0.0,1.0,1.0,1.0,end,1.7398,6.441,4.8477
2014-01-29,952479658.0,215164666.0,0.0,0.0,1.0,0.0,2.0,end,1.6693,6.432,4.8
2014-01-30,227916211.0,105288105.0,0.0,0.0,1.0,0.0,3.0,end,1.6193,6.36,4.435
2014-01-31,87324175.0,48132389.0,1.0,0.0,1.0,0.0,4.0,end,1.609,6.293,4.435
2014-02-01,64287172.0,61527060.0,1.0,0.0,1.0,1.0,5.0,begin,1.6086,6.253,4.435
2014-02-02,57912761.0,24395720.0,1.0,0.0,1.0,1.0,6.0,begin,1.6083,6.205,4.435
2014-02-03,84329848.0,46109194.0,1.0,0.0,1.0,1.0,0.0,begin,1.608,6.158,4.435
2014-02-04,83653646.0,44927333.0,1.0,0.0,1.0,1.0,1.0,begin,1.6078,6.085,4.435
2014-02-05,209043990.0,95407704.0,1.0,0.0,1.0,1.0,2.0,begin,1.6072,6.051,4.435
2014-02-06,227860276.0,111635336.0,1.0,0.0,1.0,1.0,3.0,begin,1.6069,6.044,4.435
2014-02-07,578818221.0,273482213.0,0.0,0.0,1.0,1.0,4.0,begin,1.7017,6.096,4.27
2014-02-08,358255468.0,183432237.0,0.0,1.0,1.0,1.0,5.0,begin,1.6795,6.135,4.25
2014-02-09,341911234.0,262954049.0,1.0,0.0,0.0,1.0,6.0,begin,1.6792,6.174,4.25
2014-02-10,647465140.0,431753411.0,0.0,0.0,0.0,1.0,0.0,begin,1.7004,6.225,4.3035
2014-02-11,818803205.0,243058162.0,0.0,0.0,0.0,1.0,1.0,middle,1.677,6.263,4.137
2014-02-12,763009770.0,354585919.0,0.0,0.0,1.0,1.0,2.0,middle,1.6702,6.298,4.075
2014-02-13,626698794.0,362757986.0,0.0,0.0,1.0,0.0,3.0,middle,1.6705,6.334,3.669
2014-02-14,490710434.0,263261899.0,0.0,0.0,1.0,0.0,4.0,middle,1.661,6.311,3.278
2014-02-15,255393179.0,121463693.0,1.0,0.0,1.0,0.0,5.0,middle,1.6566,6.298,3.278
2014-02-16,331324628.0,183057224.0,1.0,0.0,0.0,1.0,6.0,middle,1.6563,6.286,3.278
2014-02-17,706118060.0,405809267.0,0.0,0.0,0.0,1.0,0.0,middle,1.6526,6.259,2.951
2014-02-18,593563145.0,271125324.0,0.0,0.0,0.0,1.0,1.0,middle,1.6433,6.241,2.68
2014-02-19,408367966.0,323990451.0,0.0,0.0,1.0,1.0,2.0,middle,1.6337,6.22,2.403
2014-02-20,478925191.0,230855410.0,0.0,0.0,1.0,0.0,3.0,middle,1.6358,6.201,1.981
2014-02-21,353981687.0,178914448.0,0.0,0.0,1.0,0.0,4.0,end,1.6282,6.183,1.764
2014-02-22,282022706.0,134735118.0,1.0,0.0,1.0,0.0,5.0,end,1.6247,6.165,1.764
2014-02-23,337053711.0,195214052.0,1.0,0.0,0.0,1.0,6.0,end,1.6238,6.147,1.764
2014-02-24,656317045.0,473470156.0,0.0,0.0,0.0,1.0,0.0,end,1.6323,6.136,1.7
2014-02-25,563505889.0,299155352.0,0.0,0.0,0.0,1.0,1.0,end,1.6039,6.114,1.72
2014-02-26,680801145.0,284819682.0,0.0,0.0,1.0,1.0,2.0,end,1.596,6.093,1.75
2014-02-27,672909288.0,492786036.0,0.0,0.0,1.0,0.0,3.0,end,1.5792,6.062,1.75
2014-02-28,428721754.0,322030204.0,0.0,0.0,1.0,0.0,4.0,end,1.572,6.031,1.8458
2014-03-01,362865580.0,211279011.0,1.0,0.0,1.0,0.0,5.0,begin,1.5698,6.001,1.8458
2014-03-02,276202230.0,246199417.0,1.0,0.0,0.0,1.0,6.0,begin,1.5695,5.971,1.8458
2014-03-03,505305862.0,513017360.0,0.0,0.0,0.0,1.0,0.0,begin,1.5559,5.928,2.085
2014-03-04,524146340.0,250562978.0,0.0,0.0,0.0,1.0,1.0,begin,1.5429,5.895,2.083
2014-03-05,454295491.0,209072753.0,0.0,0.0,1.0,1.0,2.0,begin,1.5411,5.864,2.09
2014-03-06,561787770.0,243149884.0,0.0,0.0,1.0,0.0,3.0,begin,1.5259,5.835,2.0547
2014-03-07,380139779.0,291087220.0,0.0,0.0,1.0,0.0,4.0,begin,1.517,5.805,1.9948
2014-03-08,243274169.0,140323202.0,1.0,0.0,1.0,0.0,5.0,begin,1.5148,5.774,1.9948
2014-03-09,244752519.0,206312503.0,1.0,0.0,0.0,1.0,6.0,begin,1.5145,5.744,1.9948
2014-03-10,497338076.0,308040624.0,0.0,0.0,0.0,1.0,0.0,begin,1.5048,5.716,1.919
